书号	中文名	译名	作者	译者	用户名	评级	日期	helpful vote	标题	内容
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Ryan	4.0	2017年7月29日 在英国审核	0	A good read	This book is a bit of an odd read but it is interesting, I spent most of the train journeys reading this and bits of it are strange but it does link to the natural chinese history in ways which I was pleased about. A decent read but not the best of the chinese classics
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Ellie Tucker	5.0	2013年10月3日 在英国审核	2	Great present	I bought this as a mothers day gift as this is one of her favourite stories (she loved the old TV series) and she absolutely loved it. She spent the rest of the day annoying my Dad by reading out sections to him. Well worth the money!
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	smudger2000ad	2.0	2017年8月21日 在英国审核	3	Two Stars	It was not clear this was part of a trilogy
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Bender Bending Rodriguez	5.0	2014年9月24日 在英国审核	0	Monkey Magic	really good so far, am still on book one but I loved the abridged Monkey book so much I've been loving this one.  there are a lot of translated poems and such in there, which I don't get much out of, but they probably were brilliant in the original language.  such a shame.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Steven Goh	5.0	2013年5月27日 在英国审核	2	Exceeded my expectations	I give my review a five-star rating because I really enjoy reading it.  It has exceeded my expectations.  I would certainly recommend to anyone who wants to have an understanding of a famous Chinese folklore.  In fact, many Chinese today who practise traditional Chinese ancestor worship pray to the Monkey God and he is revered as a deity and many Chinese temples of statues of the Monkey God.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Lily	5.0	2017年5月22日 在英国审核	0	A wonderful rambling adventure	A wonderful rambling adventure, full of magic, wit and insights into old China. I never saw the popular TV series 'Monkey' that came from this book, but if you did, you might like to read the book.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Nigel Jackson	5.0	2006年10月2日 在英国审核	36	To the Western Heaven with the mind-ape Sun Wukong,	This is a lucid and superlative translation of this classic Chinese novel: Arthur Waley's abridgment 'Monkey'is great for getting the flavour of Wu Cheng'en's timeless novel but this complete translation by W.J.F Jenner, illustrated with many Ching period woodcuts, is a true delight and one at last appreciates the scope of 'Journey to the West' in all its amazing detail - it's a masterwork perhaps comparable to J.R.R Tolkien's 'Lord of the Rings' and the narrative is rich with weird adventures, bizarre and comedic episodes, wild combats, spiritual and poetic interludes and charged throughout with esoteric Taoist, alchemical and Buddhist symbolism as we follow the way via many vicissitudes to the Western Heaven and the Greater Vehicle scriptures with our heroes, the monk Tripitaka who is a sort of everyman on the spiritual quest through life, the irrepressible Monkey, who represents the mercurial mind so hard to control, and also the amazing magical powers of the immortal Taoist adept which nonetheless need to learn to be motivated and guided by the higher quality of Compassion and placed in the service of the enlightened Buddha-nature. Pigsy of course stands for the lower appetites and is a hilarious glutton and Friar Sand is a strange and earnest figure who defies definition. It would be a faint spirit indeed who could not take pleasure in the cunning strategems and heroic antics of the irascible Monkey King, the Great Sage Equalling Heaven - these characters are archetypal aspects of each of us and their great quest mirrors the journey of the spirit. This 3 volume translation is a joy to read and the exquisite poems which are embedded throughout really add to the full appreciation of this wonderful and intricate novel. Like 'The Golden Ass' of Apuleius it is richly humorous but beneath the phantastic episodes and the wild japes there is a serious message and purpose and the 'Journey to the West' is a profoundly spiritual novel. Was there ever a hero like the Handsome Monkey King!!
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Dr John H Watt	5.0	2016年9月29日 在英国审核	0	Five Stars	Wonderful
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Fizzle	5.0	2016年3月9日 在英国审核	1	Five Stars	Funny, witty, thought provoking. An absolute treat.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Fatima TALEB	5.0	2015年10月12日 在英国审核	0	Five Stars	quality book.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Amazon Customer	5.0	2017年2月5日 在英国审核	0	read on time	excellent value and prompt delivery
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Lily	5.0	2015年3月27日 在英国审核	0	A long read but well worth the time.	A long read but well worth the time.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	KGBeast	4.0	2009年7月5日 在德国审核	0	One of the World-Classics  - a bit laxily edited	This is the first half of the story of Sun Wukong, the Monkey-King, the piggy Shu Wuneng and the terrible Sha Wujing who in the Tang-time converted to Buddhism to accompaign the Tang-priest Sanzang to the Westerly Heaven - today's India - to find Buddha, show him reference and return to the country of Tang with some Scriptures. Starting with Monkey's brith and teaching up to his revolt in the Heavenly Palace and his following banishment this book tells about how the four came together and about the first half of their monsters-, demons- and other things infested journey. It is also a show and an indirect discussion of Taoism, Buddhism and Konfuzianism and how this philosophical schools have influenced each other. The story of Monkey and his comrades has often been adapted to other forms, like movies, plays, TV-serials, and comics (e.g. "Dragonball") and is starting with its creation in the 16th century certainly one of the most influential pieces of literature - even if outside of China most people have seldom heard of it. The edition in hand is quite comprehensive, but the editing is a bit sloppy, so that quite often homophones have been mixed in the final text, which makes the reading a bit strenuous in parts. For this - not for the quality of the work itself - one star has been deducted.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Francy	5.0	2016年5月22日 在西班牙审核	1	calida y precio inmejorable	Una edición compacta y completa de la obra a un precio inmejorable. Son cuatro volúmenes y la calidad del papel es buena para una edición compacta. Hay ilustraciones de la epoca y una buena introducción ademas la editorial es para mi garantía.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Victoria Marie	5.0	2017年8月30日 在加拿大审核	1	... still on Book One and I'm finding it a great read. I haven't been this engrossed in a ...	I'm still on Book One and I'm finding it a great read.  I haven't been this engrossed in a mythical work since Lord of the Rings.  This work predates that great work by centuries.  I love the mix of poetry and prose,  that conveys what I imagine is true to the original Chinese.  I love it.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Taylor Toft	1.0	2020年11月19日 在加拿大审核	0	Please be careful	Please be careful when buying these sets! Twice now I have purchased thinking all 4 volumes are included but unfortunately only 1 book has been given
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Amazon Customer	5.0	2020年11月27日 在加拿大审核	0	Parfait état, délais raisonnables.	Parfait état, délais raisonnables.
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Jessica	5.0	2019年6月26日 在加拿大审核	1	It’s a big read. Small print. Paper thin bible like pages. Thick books	Amazing storytelling
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Whitneythompson	5.0	2020年3月9日 在加拿大审核	0	Awesome product!	The books are awesome! The product came very quickly and in pristine condition!
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Amazon Customer	5.0	2018年3月1日 在加拿大审核	0	Five Stars	Bought it for my son & was exactly as he expected it!!😊
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Marshall	4.0	2020年6月13日 在澳大利亚审核	0	Great book	Great condition
13	西游记	Journey to the West	吴承恩	W.J.F. Jenner	Tom wendell	5.0	2016年1月16日 在加拿大审核	0	Excellent product	Product was as expected, on time and at a good price.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Christina Paige	5.0	2018年5月25日 在美国审核	14	Journey to the West condensed to one volume	This is a distillation of Yu’s faithful translation of the 100 chapter, 4-volume The Journey to the West, the part historical, part mythical epic of Chinese literature which has been the basis for numerous movies, animes. and memes.  The essential first 8 chapters of the original, which tell how Monkey becomes a force to be reckoned with, are condensed to 7; most of the trimming comes after the divine monk Tripitaka Tang sets out to bring Buddhist scriptures from India back to China, since his encounters with obstacles become a bit repetitive in the long version. The monk is actually the incarnation of a Heavenly being who volunteered to suffer human birth in order to bring the means of enlightenment to the people of the East. But once he is mortal he will lose his divine perceptions and be vulnerable to illusions, deceptions, and wrong thinking, so he is assigned 4 assistants, all of them immortals who have fallen into disgrace one way or another. (Don’t drop a teacup or set fire to Heavenly curtains, and especially don’t steal all the peaches.) Their task is to transport him safely, thereby winning their freedom to return to their former estates. This assignment is made difficult by several factors. At least two of the disciples loathe each other and are forever squabbling and fighting. Pigsy is lazy and wants to go back to eating meat and having sex; Monkey wants to go back to being King of the Flower Fruit Mountain. Only the gold fillets that act like 16th century tasers keep the unruly disciples from rebellion. Thieves and politicians bar their way. The major difficulty, however, is that every monster who wants a short cut to immortality, bypassing all that tedious self-cultivation, wants to devour the monk, for it is widely known that even one mouthful of Tripitaka’s flesh will prolong life, and making a meal of him will bestow longevity. Time and time again Monkey exerts himself on the monk’d behalf, saving Tripitaka from hungry monsters who disguise themselves as damsels in distress or feeble patriarchs, when they don’t simply capture the travelers by a frontal assault. The story is magnificent adventure, incorporating poetry, allusions to esoteric medicine and meditation practices, breathtaking descriptions of travel, ferocious fight sequences, and braggadocio exchanges between combatants. It is so refreshing to encounter a classic that isn’t inherently a tragedy based on war or lust for power, thirst for revenge. Instead, this epic centers around a quest to benefit all of creation by promoting enlightenment. In the style of the poems included in this translation, here is a summary: From a mountain stone egg is born The Mind Monkey. This one studies the Tao, Masters transformations and defeats the lords of death, Devours immortal peaches and Heavenly feasts, Challenges the divine champions, Defeating all — all but one. Only Quanyin’s intercession Frees Monkey to pursue once again The Way as a Heavenly monk’s disciple, One of four magical beings who serve and guard Tripitaka Tang on his quest for scriptures. Not always willingly. Pigsy loves earthy pleasures, Monkey resorts to violence. Over mountains and across rivers, Eluding traps and subduing demons, The five companions refine their spirits. Who will find the Way within the way?
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Dani	4.0	2014年11月29日 在美国审核	35	Hilarious classic story and well-done abridgment	First off: I'm really glad this was an abridgment-- the 100-chapter, four-volume complete story sounds utterly overwhelming. I've read long books, and I've read the entire Harry Potter series multiple times, but classic books are at time more difficult to digest than modern novels. Secondly, remember that this story is hundreds of years old. Some of the story-telling styles are old-school. If you've read other ancient books and stories, you might know what I mean. It's not organized the way a modern story might be, and while it is entertaining, it had its own religious goals as well. But don't forget to enjoy the ridiculous antics the characters often take part in. This leads me to my next point: it helped me to have some background knowledge before reading this book. While the translator/editor of this book adds a few footnotes, it doesn't explain the basics. To enjoy this story more, I would recommend attaining a little background knowledge of Buddhism, Confucianism, Daoism, and ancient China. But no worries on becoming an expert! This is still an enjoyable story, at times adventurous and at times hilarious. I had to look up some things such as "what does 'kowtow' mean?" and "what are the eight trigrams?" and the like. But as I familiarized myself with this book and its contents, I began to understand some of the references to it. For example, I discovered that many animes draw on mythologies, including this story. Goku in Dragon Ball is based on the monkey of this book, as is a tailed beast in Naruto. Other references (especially in anime, but not exclusively) came not directly from this book, but from religious characters/items/stories/etc. mentioned in this book. I feel like I learned a lot both in reading this book and seeking to understand not only the story itself, but the background that goes into it.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Meagan A. Headrick	5.0	2019年4月24日 在美国审核	3	Great translation and story!  Read now!	This labor of love from Anthony Yu is an amazing translation for English readers!  In the preface Mr. Yu discusses his reasons for wanting to provide a culturally accurate translation for English readers.  Being a native speaker of Chinese and growing up in the culture as well as being a professor of Asian studies and history in an English speaking country is really what makes this translation so amazing.  The footnotes at the bottom of each page were an especially nice detail. Oftentimes with weighty classics like this all the footnotes are either at the end of the book with the appendices or at the end of the chapter.  This leads to a lot of fumbling around and flipping pages back and forth and can subsequently take you out of your reading experience.  It is also easier, at least for me, to forget some of the context of what I was reading doing all this flipping back and forth.  Not only do the footnotes themselves add immensely to the depth of understanding of the material but having them at the bottom of the page they are referencing makes reading easy and enjoyable.  Culture specific footnotes really helped me understand the intensity of the situations I was reading about as well as just how funny this book is. As far as the story itself I think everyone should read it.  The story is hilarious and surprisingly modern in its storytelling despite the time it was written.  So many of the most famous animes in pop culture clearly have taken major inspiration from this story.  DBZ alone has ripped off so many elements you'll find yourself laughing at the similarities if you have ever watched DB or DBZ. Highly, HIGHLY recommend!!  Read now please!
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Kenneth W. Wilder	5.0	2016年9月23日 在美国审核	6	The Great Chinese Classic	This long but nevertheless abbreviation of the Chinese classic story of the journey from China to India of the Buddhist monk Tripitaka to bring to China manuscripts of the teachings of the Buddha. The characters are spectacular, especially Monkey whose magical performances save the mission from disaster. The bizarre adventures involving magic and courage are at times very amusing and always astonishing at the invention and imagination of those who wrote this amazing and highly readable, scholarly translated work. The story has been translated into many languages, made into films and simplified versions published for children. Not to be missed.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Lochlan Longstrider	2.0	2020年6月19日 在美国审核	0	A tough slog	Ugh, this is just not an entertaining read for me.  The humor may bring a chuckle to Asian readers of the 16th century Ming dynasty but this is way too dry for me.  I would suggest checking it out from a library prior to purchasing it to see if it is what you expected.  Just because everyone else tells you that the monkey is handsome don't believe them, like the Emperor of old, he wears no clothes.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Erik Nelson	5.0	2018年3月29日 在美国审核	2	Amazing, Perfect length. Must read for Dragonball fans.	GREAT book. I have never read the 1942 version but I imagine it must leave out a LOT. Considering Anthony C Yu's full unabridged version is 4 times the length of his here abridged version, this version is a great starting point. A must read for all interested in Chinese literature and a MUST for all Dragonball fans! You really get a sense of Goku and his world by reading this classic epic story.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Anthony Coto Orocu	5.0	2018年11月11日 在美国审核	3	Great translation	Good translation and the abbreviated version maintains the spirit and I don't feel like I miss much by not purchasing each individual tome
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	B K	3.0	2019年5月8日 在美国审核	2	Typo-ridden	Cool book. LOTS of typos. Is it hard to pay people to read these things before you publish them?
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Jonathan	5.0	2020年11月5日 在美国审核	0	A delightful immersive saga	You probably need to appreciate ancient Chinese culture and it’s historic interaction with Buddhism to appreciate this novel. This was a delightful journey with a group of colorful characters that keep struggling to learn and grow. The rhythm of the story telling becomes a fun structure for these little adventures. I didn’t miss the unabridged version for a moment.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Philip Martin	5.0	2020年7月7日 在美国审核	0	Rich with Voice and Culture	Incredibly well written such that it seems to preserve the culture and voice of the original work. It is excellent, and does not feel like you're reading sparknotes, which is the experience I had with a different translated abridgement of Journey to the West.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Denise D.	5.0	2015年3月6日 在美国审核	2	Who doesn't love a great story?	Loved this version and sent it as a birthday gift to my son, who loved it as well. Great story to share with your kids. Recommend it all over the place.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	AJ Minich	4.0	2010年5月24日 在美国审核	27	Decent translation, but leaves out some of the best tales	I love 'Journey to the West' - the story is China's version of 'The Canterbury Tales', and the tales found within are both seminal works of Chinese literature and rewarding reads in and of themselves.  For this particular edition, Anthony Yu does a good job of translating into English: the prose text is very readable, and Yu's footnotes provide a lot of help on obscure references to Chinese superstitions and Buddhist heritage.  The translations of the poems are somewhat less satisfying, and I found myself frequently skipping over them to read just the prose storyline.  My main complaint is with the books Yu decides to include here: out of the 100 chapters of the full edition, Yu includes only the 31 chapters that are crucial to the plotline.  As a result, you get the barebones story, but some of the best-written and most comical subplots are left out.  All in all, though, a pretty good read, especially for anyone looking for the middle ground between the comic book versions and the full 4-volume 100-chapter text.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Sean Drader	5.0	2016年5月20日 在美国审核	4	What a great book, I was sad when I got to ...	What a great book, I was sad when I got to the end that there was no more. Its amazing it was written hundreds of years ago and still has relevant moderns themes and insights. The mix of Taoism, Buddhism and Confucianism is special. Such an unusual story of myth, fairytale, proverb and religion, all with beautiful imagery and fun.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Saberbear17	5.0	2019年5月14日 在美国审核	0	Great edition of a classic	If a story seemed too long because of the vast amount of volume and you just want a good read in one book. This is it. Journey to the West is an epic that needs to be read and this is the version to read in one go.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Julian May	5.0	2018年3月29日 在美国审核	0	Five Stars	This is a superb printing of this translation in a manageable soft cover.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	J. Sa	4.0	2013年1月5日 在美国审核	3	Excellent abridged version	Anthony Yu indeed is an excellent translator, summing up the most essential chapters to give a flavor of the importance spiritual depth of this book. It will engage readers to want to study further in his full translation version!
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	7	5.0	2018年7月31日 在美国审核	0	Five Stars	One of the best told stories of all time. Thank you!
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Sorcha Gibson	5.0	2019年2月2日 在美国审核	0	A Real Classic	The story is so full of adventure , I can see why it's still so popular after so long !
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Audrith	5.0	2019年12月25日 在美国审核	0	great book	a classical must read chinese epic
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	William	3.0	2020年1月27日 在美国审核	0	Different stories.	I guess it alright.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Pemika	5.0	2015年3月4日 在美国审核	1	Five Stars	Very interesting book!
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	S. Kelley	5.0	2007年2月23日 在美国审核	15	I love this book	This is the best translation you will find Anthony C Yu has really made this book shine, it displays all that only people who can read Chinese could only know until now ,previous books in English on the monkey king have been dry and lacking in spirit this book is beautifully descriptive and spiritually deep at the same time,but don't let the word spiritual throw you off this book is full of adventure and excitement, not a boring moment to be found. .P.S. this is the abridged version of the 3 volume full version.I usually don't bother with abridged books but got this one to read to my [...]son,not only does my son love this,but I love just as much as the whole set
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	M. Gohler	5.0	2013年4月18日 在美国审核	11	I would definitely recommend reading the 4-volume set instead.	After reading the complete set a few years ago, I thought it would be fun to re-read the abridged version when it came out. As far as I can tell, the author has simply selected certain chapters from the full set to create this one book version. I'm realizing now that I don't really want to "skip" chapters! What's the rush anyhow? When I finish this, I'll be looking for my next book to read. I believe the first 15 chapters are the same in BOTH versions; so if unsure, you could start with the short one and switch over...
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	J. Cheung	5.0	2017年9月14日 在美国审核	1	Five Stars	Glad to have it.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Garrison Moore	2.0	2015年3月18日 在美国审核	0	Not my cup of tea	This an abridgement of a famous Chinese novel beloved by kids and adults all over as Asia. Unfortunately this a not very readable translation that appears to be aimed at scholars, The choice of multisylabic  words where simple words. There is also a lot a obscure Buddhist and  Taoist poetry interspersed in the text that I could not head nor tails of. Very distracting from the story.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Victor Liang	5.0	2012年4月4日 在美国审核	2	Great book	This book is a great book to use to learn about Chinese culture. The story here is a classical of Chinese literature and is written in a way that makes it clear for anyone to understand. A good read.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Philip Mars	3.0	2009年8月18日 在美国审核	4	A Classic	TMatM tells a story that happens to be one of the most well-known tales in Asia: "The Monkey King's Journey to the West". The story is profound and funny - and very different from any tale you may hear in this  side of the globe. By reading it, you get to know a lot about the basis of a whole culture. The Monkey King was the inspiration - direct or otherwise - for many mangá creators. Suggested for people who are really interested in the Asian culture.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	T. Ormiston-smith	2.0	2012年5月2日 在美国审核	2	WHERE IS THE REST	Mr Yu already translated the entire book and did it very well. That translation has been extant for around 30 years. So why publish only a little readers digest condensed one? I want the whole thing for my Kindle. I would be happy to pay commensurately with the increased volume. Come on give us a break, people who read this stuff at all want the whole thing.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Richard A., Maxwell	4.0	2007年4月10日 在美国审核	3	Buddhism's Defeat of the Taoist  Quest for Real Immortality	Interesting to note that Xuanzang's journey coincided with the Taoist alchemist's failed attempt to create the elixir of life (immortality). He blundered into gunpowder instead, thus sending mankind down the road to Prometheus, Pandora, and perdition rather than up and over the fabled hill of Sisyphus to the Shangri-la realm of Asklepios and Panacea. The tamed Monkey controlled initially by a fillet and later by himself represents the victory of Buddhism's metaphorical immortality over Taoism's failed experiments in real immortality.  Had Tony Yu made this point in his preface, I'd have given him 5 stars. Note:  Joseph Needham is very good on Taoist alchemy and gunpowder.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Real Person	1.0	2007年4月30日 在美国审核	26	Poor translation, poor abridgement	1) The translation is poor.  For example, when Sun Wukong ("Monkey") calls himself "lao3 sun1" in Chinese, Yu translates that into "old Monkey."  This is just dumb.  Something like a plain "I" or "this old monkey" would have worked better.  There are many such examples.  The translated English text almost requires you to know Chinese to understand.  Definitely not for the masses. 2) I can't believe most of the stories in the 2nd half of the original novel are omitted.  This abridged edition seems to focus on the first half of the Xiyouji ("Journey to the West") novel.  Great stories like the Ox King and the nymphs are completely cut out.  This is just absolutely terrible.  On the other hand, the uninteresting, semi-religious side stories about the origin of Xuanzang (Tang Sanzang) are kept.  What's more, all those poems in the chapters that are included here are retained -- you know, Chinese poems (shi and ci) that are extremely difficult to translate which should have been left out of an abridged edition. In short, don't get this book.  It's absolutely terrible and a waste of money.  You might as well get the unabridged translation, by either Yu (expensive) or by Waley (old but affordable).  But if you really want to appreciate the great novel, you should study Chinese (5-6 years full-time) and then read the original Chinese edition.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Velvet	5.0	2017年2月25日 在加拿大审核	0	Amazing adventures	I brought the book to read at a book group and it elicited an excellent wide ranging discussion.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	CCook	5.0	2015年10月2日 在加拿大审核	1	No problems	Great abridgment of a Chinese classic - still feels like you're reading something ancient without being totally incomprehensible.
14	西游记	The Monkey and the Monk: An Abridgment of The Journey to the West	吴承恩	Anthony C. Yu	Anonymous	5.0	2020年2月4日 在新加坡审核	0	Wonderful and high Quality Book	Just as ordered.
15	孙子兵法	Sun Tzu - The Art of War	孙子	Lionel Giles	Heather Giron	5.0	2020年12月16日 在美国审核	0	Quality	Love it! I would recommend anyone to read this book!
16	孙子兵法	The Art of War	孙子	Brace E. Barber	bob	1.0	2018年6月7日 在美国审核	401	NOT THE FULL TEXT	NOT THE FULL TEXT....these are the  cliff notes......product page is awful.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Amazon Customer	1.0	2017年5月2日 在美国审核	828	This is a ~15 page "summary" of the book. ...	This is a ~15 page "summary" of the book. Ordered this thinking it was the full text because it doesn't say otherwise in the description.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Cooper White	1.0	2017年10月30日 在美国审核	254	Find another version from a reputable publisher	Looks like someone printed a PDF I could have found for free online. The book is too wide and tall and the layout, indentation, and general typography are awful.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Amazon Customer	5.0	2016年4月20日 在美国审核	1,309	It is a book meant for good.	I want to tell future readers of this book in this way. I read it first when I was 14 or 15. I thought it was a book on how to smartly fight a war. Then I re-read it when I was 28 and it occurred to me that it may be an instruction book on how to navigate an honorable life. Years passed and I recently found it at the bottom of a box in my closet. I read it again at age 56. I realized it has more to offer. If you read this book, you will actively have to replace Sun Tzus' ancient terms and placement of hierarchy and apply them to modern situations and people. Family, bosses, neighbors, employees and the list goes on. It is my belief that this "manual" can help solve minor and major disruptions in life if used correctly. It is a book meant for good.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Canuckpup	1.0	2017年2月23日 在美国审核	159	It should say PUBLIC DOMAIN as it is like a copy from someone who took notes off of ...	This is ABSOLUTELY AWFUL.  It should say PUBLIC DOMAIN as it is like a copy from someone who took notes off of someone who took notes who took notes off someone who doesn't even write in the English language!  It is woefully abridged (to the max) looks like it was not edited or proofread and I loathe it.  AWFUL AWFUL AWFUL
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Andrew Kantor	5.0	2021年2月12日 在美国审核	18	Ignore the negative reviews — here's why this is the perfect version	This is the single best translation of The Art of War — the one used in history courses and the military. Why? Because it's JUST The Art of War. No long intros. No author's notes. No commentary. No 10 pages of history or Sun Tzu biography. It's simply the text of The Art of War translated by an international group of Chinese- and English-speaking scholars. Period. It's the *definitive* text. Complaining about it being short is like complaining about the Gettysburg Address being short. It IS short. That's the POINT. If you want to read dozens of pages of commentary and history and footnotes and acknowledgements, buy a lesser version. If you want to read The Art of War, buy this one.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	C.A. Gray	2.0	2019年12月18日 在美国审核	11	67 Page Cliffnotes	 Idk, maybe I didn't read the reviews in my Xmas shopping haste? But this is NOT The Art of War you're used to. This is a very thin, 67 page cliffnote version. And it'd be nice if they listed that pertinent fact in the headline 🙄 Kinda just a waste of resources sending it back, of time for me, and a loss for the seller. Annoying.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Frank Ward	4.0	2020年1月14日 在美国审核	8	This is not a textbook or a narrative. More like a book proverbs.	Interesting book, everybody sites The Art of War as the top book for combat, business, and all types of other endeavors. It's a little difficult to just read however it has tons of wise principles. You do have to think somewhat abstractly in order to benefit from this book, but overall I think it's worth having and worth reading. Certainly not the type of book you would read like anovel...
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Emily	5.0	2020年4月14日 在美国审核	4	Sun Tzu Shines	I really appreciate having read this book. It oriented my mind in a favorable way towards using and thinking about certain mindfulness-based strategical tactics. I appreciate the guidance and motivational support written within the pages. This was a quick, easy read for me and will be a lasting reference for years to come. I highly suggest this to everybody. It is a classic must-read in my opinion. I was not compensated in any way for this review. I like to give open, honest and transparent feedback about products I like to try. I hope you found this review to be useful. If so, please click the 'Helpful' button to let myself and others know that it has helped you.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	ZK Green	3.0	2020年7月13日 在美国审核	2	Vignette	It seems like I have heard about the classic book, "The Art of War," for as long as I can remember. I finally decided to buy the book from Amazon. Red flags, bells, and whistles should have went off inside my head when I only paid $3.99 for the book. This is not the original book that I had anticipated reading. This is more or less a summary of "The Art of War," by Sun Tzu. It is my responsibility to be aware of what I am purchasing. I rated this book with 3-stars because I did find nuggets of wisdom splattered throughout the book. Beware! If you intend on purchasing "The Art of War," by Sun Tzu the $3.99 is not the copy to buy.
16	孙子兵法	The Art of War	孙子	Brace E. Barber	Mark Pallottino Jr	3.0	2020年12月1日 在美国审核	1	You can't complain for the price	This was an incredibly economical buy. A good price on a legendary literary work. However, it should be pointed out that this was a public domain reprint and the publishing company did not cite nor include the translator of this piece in any way, it is simply "The Art of War" by Sun Tzu. The quality of the print is very good and the material seems to all be there, although, there are many blank pages as shown in the attached image. Again, I did not notice any material actually missing or out of context. I would not purchase this book if you are looking to reference it for scholarly sources or any work in which you would have to reference the content directly. I would definitely encourage the buy if it is for personal use or work that does not require proper citations.
